Set	Position	Affiliation	Faction	Name	Type	1d Cost	2d Cost	Min Cost	Max Cost	Rarity
Empire at War	63	Villain	Command	Drop Your Weapon!	Event					Uncommon
Empire at War	64	Villain	Command	Imperial Backing	Event					Uncommon
Empire at War	65	Villain	Command	Prepare for War	Event					Common
Empire at War	66	Villain	Command	Red Alert	Event					Common
Empire at War	67	Villain	Command	Ruthless Tactics	Event					Common
Empire at War	68	Villain	Command	Take Prisoner	Event					Uncommon
Empire at War	69	Villain	Command	Imperial HQ	Support					Common
Empire at War	70	Villain	Force	As You Command	Event					Common
Empire at War	71	Villain	Force	Cornered Prey	Event					Common
Empire at War	72	Villain	Force	Indomitable	Event					Common
Empire at War	73	Villain	Force	It Will All Be Mine	Event					Uncommon
Empire at War	74	Villain	Force	Kill Them All	Event					Common
Empire at War	75	Villain	Force	Unyielding	Event					Uncommon
Empire at War	76	Villain	Force	Insidious	Support					Common
Empire at War	77	Villain	Force	Hate	Upgrade					Uncommon
Empire at War	78	Villain	Rogue	Anarchy	Event					Uncommon
Empire at War	79	Villain	Rogue	Bounty Postings	Event					Common
Empire at War	80	Villain	Rogue	Buy Out	Event					Uncommon
Empire at War	81	Villain	Rogue	Coercion	Event					Uncommon
Empire at War	82	Villain	Rogue	Only Business Matters	Event					Common
Empire at War	83	Villain	Rogue	Pilfered Goods	Event					Uncommon
Empire at War	84	Villain	Rogue	Twin Shadows	Event					Uncommon
Empire at War	85	Villain	Rogue	Hutt Ties	Support					Common
Empire at War	86	Villain	Rogue	Deadly	Upgrade					Uncommon
Empire at War	87	Villain	General	No Survivors	Event					Common
Empire at War	88	Villain	General	Detention Center	Support					Uncommon
Empire at War	89	Hero	Command	All Quiet On The Front	Event					Uncommon
Empire at War	90	Hero	Command	Entrenched	Event					Uncommon
Empire at War	91	Hero	Command	Fortuitous Strike	Event					Common
Empire at War	92	Hero	Command	Rearguard	Event					Common
Empire at War	93	Hero	Command	Reckless Reentry	Event					Uncommon
Empire at War	94	Hero	Command	Strike Briefing	Event					Common
Empire at War	95	Hero	Command	Swift Strike	Event					Common
Empire at War	96	Hero	Command	Rally Aid	Support					Uncommon
Empire at War	97	Hero	Command	Shield Generator	Support					Common
Empire at War	98	Hero	Force	At Peace	Event					Common
Empire at War	99	Hero	Force	Bestow	Event					Common
Empire at War	100	Hero	Force	Bring Balance	Event					Uncommon
Empire at War	101	Hero	Force	Reaping The Crystal	Event					Uncommon
Empire at War	102	Hero	Force	Secret Mission	Event					Common
Empire at War	103	Hero	Force	Trust The Force	Event					Common
Empire at War	104	Hero	Force	Funeral Pyre	Support					Common
Empire at War	105	Hero	Force	Yoda's Quarters	Support					Uncommon
Empire at War	106	Hero	Force	Fearless	Upgrade					Uncommon
Empire at War	107	Hero	Rogue	Against The Odds	Event					Common
Empire at War	108	Hero	Rogue	Appraise	Event					Common
Empire at War	109	Hero	Rogue	Bad Feeling	Event					Common
Empire at War	110	Hero	Rogue	Double-Cross	Event					Uncommon
Empire at War	111	Hero	Rogue	Impersonate	Event					Uncommon
Empire at War	112	Hero	Rogue	Local Patrol	Event					Common
Empire at War	113	Hero	Rogue	Quick Escape	Event					Uncommon
Empire at War	114	Hero	Rogue	Tenacity	Event					Common
Empire at War	115	Hero	Rogue	Running Interference	Support					Uncommon
Empire at War	116	Hero	Rogue	Thermal Paint	Upgrade					Common
Empire at War	117	Hero	General	Defiance	Event					Common
Empire at War	118	Neutral	Command	Covering Fire	Event					Common
Empire at War	119	Neutral	Command	Deploy Squadron	Event					Common
Empire at War	120	Neutral	Command	Fall Back	Event					Uncommon
Empire at War	121	Neutral	Command	Feint	Event					Uncommon
Empire at War	122	Neutral	Command	Flanking Maneuver	Event					Uncommon
Empire at War	123	Neutral	Command	Heat Of Battle	Event					Common
Empire at War	124	Neutral	Command	Pinned Down	Event					Common
Empire at War	125	Neutral	Command	The Day is Ours	Event					Common
Empire at War	126	Neutral	Command	Drop Zone	Support					Uncommon
Empire at War	127	Neutral	Command	Tech Team	Support					Common
Empire at War	128	Neutral	Force	Battle of Wills	Event					Uncommon
Empire at War	129	Neutral	Force	Force Vision	Event					Common
Empire at War	130	Neutral	Force	Lightsaber Pull	Event					Common
Empire at War	131	Neutral	Force	Lightsaber Training	Event					Common
Empire at War	132	Neutral	Force	No Surrender	Event					Common
Empire at War	133	Neutral	Force	Something familiar	Event					Uncommon
Empire at War	134	Neutral	Force	Voices Cry Out	Event					Common
Empire at War	135	Neutral	Force	Keen Instincts	Upgrade					Uncommon
Empire at War	136	Neutral	Rogue	Battle Rage	Event					Common
Empire at War	137	Neutral	Rogue	Disable	Event					Common
Empire at War	138	Neutral	Rogue	Persuade	Event					Common
Empire at War	139	Neutral	Rogue	Pickpocket	Event					Common
Empire at War	140	Neutral	Rogue	Threaten	Event					Uncommon
Empire at War	141	Neutral	Rogue	Trickery	Event					Uncommon
Empire at War	142	Neutral	Rogue	Truce	Event					Common
Empire at War	143	Neutral	Rogue	Stolen Cache	Support					Common
Empire at War	144	Neutral	Rogue	Hidden Agenda	Upgrade					Uncommon
Empire at War	145	Neutral	Rogue	Mandalorian Armor	Upgrade					Common
Empire at War	146	Neutral	General	Dangerous Mission	Event					Common
Empire at War	147	Neutral	General	Endurance	Event					Uncommon
Empire at War	148	Neutral	General	Partnership	Event					Common
Empire at War	149	Neutral	General	Recycle	Event					Common
Empire at War	150	Neutral	General	Rend	Event					Common
Empire at War	151	Neutral	General	Roll On	Event					Common
Empire at War	152	Neutral	General	Plastoid Armor	Upgrade					Common
Empire at War	153	Neutral	General	B'Omarr Monastery	Battlefield					Common
Empire at War	154	Neutral	General	Fort Anaxes	Battlefield					Uncommon
Empire at War	155	Neutral	General	Garel Spaceport	Battlefield					Uncommon
Empire at War	156	Neutral	General	Imperial Academy	Battlefield					Uncommon
Empire at War	157	Neutral	General	Main Plaza	Battlefield					Common
Empire at War	158	Neutral	General	Medical Center	Battlefield					Uncommon
Empire at War	159	Neutral	General	Port District	Battlefield					Uncommon
Empire at War	160	Neutral	General	Weapons Factory Alpha	Battlefield					Uncommon
Two-Player Game	1	Villain	Force	Kylo Ren	Character	14	17	14	17	Starter
Two-Player Game	2	Villain	Command	Captain Phasma	Character	10	14	10	14	Starter
Two-Player Game	3	Villain	Command	Droid Commandos	Support					Starter
Two-Player Game	4	Villain	Command	Captain Phasma's Blaster	Upgrade					Starter
Two-Player Game	5	Villain	Command	Praetorian Guard	Upgrade					Starter
Two-Player Game	6	Villain	Force	Dark Counsel	Upgrade					Starter
Two-Player Game	7	Villain	Force	Crossguard Lightsaber	Upgrade					Starter
Two-Player Game	8	Villain	Force	Force Stasis	Upgrade					Starter
Two-Player Game	9	Villain	Force	Jedi Rival	Upgrade					Starter
Two-Player Game	10	Villain	Command	Armored Support	Support					Starter
Two-Player Game	11	Villain	Command	First Strike	Event					Starter
Two-Player Game	12	Neutral	Command	I Have You Now	Event					Starter
Two-Player Game	13	Villain	Command	Imperial Envoy	Event					Starter
Two-Player Game	14	Neutral	Command	Mobilize	Event					Starter
Two-Player Game	15	Villain	Command	Tactical Mastery	Event					Starter
Two-Player Game	16	Neutral	Force	As I Have Foreseen	Event					Starter
Two-Player Game	17	Neutral	Force	Clash	Event					Starter
Two-Player Game	18	Villain	Force	Intimidate	Event					Starter
Two-Player Game	19	Villain	Force	Your Skills Are Complete	Event					Starter
Two-Player Game	20	Villain	General	Doubt	Event					Starter
Two-Player Game	21	Neutral	General	Parry	Event					Starter
Two-Player Game	22	Villain	General	Subjugate	Event					Starter
Two-Player Game	23	Neutral	General	Hangar Bay	Battlefield					Starter
Two-Player Game	24	Hero	Force	Rey	Character	12	15	12	15	Starter
Two-Player Game	25	Hero	Command	Poe Dameron	Character	11	15	11	15	Starter
Two-Player Game	26	Hero	Command	Medical Droid	Support					Starter
Two-Player Game	27	Hero	Command	Strike Team	Support					Starter
Two-Player Game	28	Hero	Command	Teamwork	Upgrade					Starter
Two-Player Game	29	Hero	Command	Poe Dameron's Blaster	Upgrade					Starter
Two-Player Game	30	Hero	Force	Rey's Lightsaber	Upgrade					Starter
Two-Player Game	31	Hero	Force	Inner Strength	Upgrade					Starter
Two-Player Game	32	Hero	Force	Luke's Protection	Support					Starter
Two-Player Game	33	Hero	Command	Honor Guard	Support					Starter
Two-Player Game	34	Neutral	Command	Direct Hit	Event					Starter
Two-Player Game	35	Neutral	Command	Logistics	Event					Starter
Two-Player Game	36	Neutral	Command	Recon	Event					Starter
Two-Player Game	37	Hero	Command	Strategic Planning	Event					Starter
Two-Player Game	38	Hero	Force	Concentrate	Event					Starter
Two-Player Game	39	Hero	Force	Defensive Stance	Event					Starter
Two-Player Game	40	Hero	Force	Distraction	Event					Starter
Two-Player Game	41	Hero	Force	Do Or Do Not	Event					Starter
Two-Player Game	42	Hero	Force	Fierce Resolve	Event					Starter
Two-Player Game	43	Neutral	General	Evade	Event					Starter
Two-Player Game	44	Neutral	General	Flank	Event					Starter
Two-Player Game	45	Neutral	General	Sound The Alarm	Event					Starter
Two-Player Game	46	Neutral	General	Obi-Wan's Hut	Battlefield					Starter
Legacies	2	Villain	Force	Maul	Character	12	16	12	16	Legendary
Legacies	3	Villain	Force	Mother Talzin	Character	9	12	9	12	Rare
Legacies	4	Villain	Force	Palpatine	Character	16	20	16	20	Rare
Legacies	6	Villain	Force	Crystal Ball	Upgrade					Rare
Legacies	8	Villain	Force	Maul's Lightsaber	Upgrade					Legendary
Legacies	9	Villain	Command	Battle Droid	Character	6		6	6	Rare
Legacies	13	Villain	Command	Veteran Stormtrooper	Character	9		9	9	Starter
Legacies	14	Villain	Command	Separatist Landing Craft	Support					Rare
Legacies	18	Villain	Rogue	Bib Fortuna	Character	9	12	9	12	Rare
Legacies	19	Villain	Rogue	Boba Fett	Character	12	16	12	16	Starter
Legacies	20	Villain	Rogue	Doctor Aphra	Character	11	14	11	14	Legendary
Legacies	21	Villain	Rogue	Greedo	Character	7	11	7	11	Legendary
Legacies	23	Villain	Rogue	Ark Angel	Support					Rare
Legacies	24	Villain	Rogue	BT-1	Support					Rare
Legacies	25	Villain	Rogue	Slave I	Support					Starter
Legacies	27	Villain	Rogue	Wrist Rockets	Upgrade					Starter
Legacies	29	Hero	Force	Aayla Secura	Character	9	12	9	12	Rare
Legacies	31	Hero	Force	Luke Skywalker	Character	11	14	11	14	Starter
Legacies	32	Hero	Force	Obi-Wan Kenobi	Character	15	19	15	19	Rare
Legacies	33	Hero	Force	Yoda	Character	10	13	10	13	Legendary
Legacies	36	Hero	Force	Force Meditation	Upgrade					Rare
Legacies	37	Hero	Force	Obi-Wan Kenobi's Lightsaber	Upgrade					Legendary
Legacies	41	Hero	Command	Wedge Antilles	Character	11	15	11	15	Rare
Legacies	43	Hero	Command	Resistance Bomber	Support					Rare
Legacies	46	Hero	Rogue	Han Solo	Character	11	14	11	14	Starter
Legacies	47	Hero	Rogue	Jar Jar Binks	Character	7	9	7	9	Rare
Legacies	49	Villain	Rogue	Saw Gerrera	Character	12	16	12	16	Legendary
Legacies	51	Hero	Rogue	Runaway Boomas	Support					Rare
Legacies	52	Hero	Rogue	Millennium Falcon	Support					Starter
Legacies	56	Neutral	Force	Force Focus	Upgrade					Starter
Legacies	58	Neutral	Force	Heirloom Lightsaber	Upgrade					Starter
Legacies	65	Neutral	Rogue	Hondo Ohnaka	Character	12	15	12	15	Rare
Legacies	77	Villain	Force	Double Strike	Event					Uncommon
Legacies	80	Villain	Force	Snare	Event					Uncommon
Legacies	83	Villain	Force	Nightsister Coven	Support					Uncommon
Legacies	92	Villain	Rogue	Delve	Event					Uncommon
Legacies	94	Villain	Rogue	In Pursuit	Event					Uncommon
Legacies	95	Villain	Rogue	No Good To Me Dead	Event					Common
Legacies	100	Hero	Force	Adapt	Event					Common
Legacies	101	Hero	Force	Ataru Strike	Event					Rare
Legacies	106	Hero	Force	Defensive Teaching	Support					Uncommon
Legacies	118	Hero	Rogue	Explosive Tactics	Event					Uncommon
Legacies	119	Hero	Rogue	Impulsive	Event					Common
Legacies	122	Hero	Rogue	Maz's Vault	Support					Uncommon
Legacies	137	Neutral	Command	Crash Landing	Event					Starter
Legacies	139	Neutral	Command	Locked and Loaded	Event					Common
Legacies	140	Neutral	Command	Reinforce	Event					Uncommon
Legacies	141	Neutral	Command	Strength in Numbers	Event					Common
Legacies	145	Neutral	Command	Bubble Shield	Support					Uncommon
Legacies	148	Neutral	Rogue	Cantina Brawl	Event					Uncommon
Legacies	168	Neutral	General	Espionage	Plot	1		1	1	Uncommon
Legacies	171	Neutral	General	Profitable Connection	Plot	3		3	3	Uncommon
Legacies	174	Neutral	General	Arid Wasteland	Battlefield					Starter
Legacies	178	Neutral	General	Outer Rim Outpost	Battlefield					Starter
Rivals	1	Neutral	Force	Anakin Skywalker	Character	10	13	10	13	Starter
Rivals	2	Neutral	Command	Lobot	Character	10	13	10	13	Starter
Rivals	3	Neutral	Rogue	Ketsu Onyo	Character	11	14	11	14	Starter
Rivals	4	Neutral	General	Jawa Scavenger	Character	6		6	6	Starter
Rivals	13	Neutral	General	Resourceful	Event					Starter
